train_acc;train_loss;test_acc;test_class_acc;test_loss
0.6914666666666667;0.08060253589669734;0.769533231861999;0.5745077340201618;0.07810191999162946
0.651752380952381;0.08654532522377592;0.6112379502790461;0.5152014883618077;0.08489589187077114
0.7280380952380952;0.08060524318985404;0.7440385591070522;0.5748384769137314;0.07795391509646461
0.7458285714285713;0.07733345938469256;0.7710553018772196;0.604751447041593;0.07639963422502791
0.7270095238095238;0.07743274973651118;0.7748604769152715;0.6160794407101733;0.0758808243842352
0.7351047619047619;0.0799702566495326;0.7549467275494673;0.5655750425086815;0.07879267131714594
0.7178666666666668;0.0800729111606313;0.7342719431760528;0.5578748181336289;0.07979815816879272
0.7409142857142856;0.07672569853484142;0.7875443937087773;0.7188845274461713;0.07009984804335094
0.7242095238095239;0.07544169915496883;0.7365550481988837;0.5772721986802353;0.075964846656436
0.7432190476190477;0.07324667314412049;0.7781582952815831;0.7472933867563157;0.06832273154031662
0.7787809523809524;0.0694513448898532;0.665017757483511;0.6658081864986439;0.07442628197442917
0.772952380952381;0.06986916288350237;0.8066971080669711;0.7632087692897883;0.06710522971834455
0.7844380952380953;0.06966075381793892;0.719558599695586;0.6214672901002818;0.07541616975693476
0.7785333333333334;0.07074189928173451;0.7838660578386606;0.7486626154050926;0.06805732602164859
0.7848952380952381;0.06862178489148538;0.8116438356164384;0.8054079536684622;0.0642691395396278
0.7896190476190477;0.06999036735024855;0.8198883815322171;0.7727970591339677;0.0663852721623012
0.8014857142857142;0.06706279109695748;0.7781582952815831;0.779381041455721;0.06616533767609369
0.7923619047619047;0.06627028527589589;0.8027650938609843;0.7840924228377638;0.06558989776883807
0.8091238095238096;0.06523891607223863;0.8160832064941654;0.8120261083983769;0.06367172976902553
0.8027238095238095;0.06492783057392154;0.8145611364789447;0.8233771653715527;0.06343755202066331
0.8171428571428572;0.06399428772344933;0.7820903094875697;0.7983137880982017;0.0650391776221139
0.813542857142857;0.06325506212984319;0.8335870116692033;0.8341522381615762;0.06227307555789039
0.8136;0.06382875700613776;0.8417047184170472;0.8416505212124372;0.0621479400907244
0.8171047619047619;0.06323666064642479;0.8442415017757482;0.8323782678381063;0.06164987175805228
0.7782857142857142;0.06999257125725494;0.8224251648909182;0.8095780235209386;0.06352560960678827
0.827295238095238;0.06284391224259399;0.8025114155251142;0.7936741023025432;0.06481642947878156
0.8305714285714285;0.06207117302618973;0.8399289700659565;0.8488153418202974;0.06112035492488316
