train_acc;train_loss;test_acc;test_class_acc;test_loss
0.6477333333333333;0.08467479144693398;0.6557584982242516;0.4573688326945577;0.08858134169805618
0.632552380952381;0.08784184369116108;0.5795281582952816;0.3407622735073997;0.09695265860784621
0.662247619047619;0.08694274482510843;0.643581938102486;0.5260724986080082;0.08327370248522077
0.6231619047619047;0.08954881516314162;0.6046423135464232;0.34860770185633644;0.09607118352254232
0.6488952380952381;0.08670603878090645;0.6749112125824454;0.543266500813652;0.08111409480231149
0.7093142857142857;0.07918573709005718;0.7711821410451547;0.5874794439324463;0.0762305204754784
0.7371809523809524;0.0775972498464775;0.7014205986808726;0.6056268030246531;0.07666517498379662
0.7260761904761905;0.07883187026427028;0.7964231354642315;0.6023907261350184;0.07515005531765166
0.7121714285714286;0.07798822553163712;0.73896499238965;0.6073655980655152;0.07585980208714803
0.725447619047619;0.07846543955948267;0.6796042617960426;0.5772597228436241;0.07863492318562099
0.724704761904762;0.07805746670540548;0.7441653982749874;0.608682431152111;0.07718251805078416
0.7353904761904763;0.07465261901689953;0.7455606291222729;0.661097213730886;0.07409275618053618
0.7299619047619048;0.07468929285547987;0.7562151192288179;0.702608614598053;0.0711789923168364
0.7533714285714286;0.0729389986802928;0.7814561136478944;0.7301265602812026;0.06889640444800968
0.7671619047619047;0.07060996874965333;0.7752409944190766;0.7808700012524179;0.0671970745949518
0.7732380952380953;0.06956739625741831;0.7872907153729073;0.7668127764680492;0.0666234510512579
0.7761333333333333;0.06823767946206585;0.7808219178082192;0.7783418776301166;0.0663322411945888
0.7807047619047619;0.06701292927366458;0.8221714865550481;0.8135643699587246;0.06416559850601923
0.8015809523809524;0.06638860341412019;0.7546930492135971;0.7223979568072272;0.07000259397143409
0.8059428571428572;0.06580743121519432;0.8083460172501268;0.8106140058993944;0.0638029511315482
0.7996190476190477;0.06551063404829985;0.8004819888381531;0.7980863488747221;0.06499686586289179
0.8132380952380953;0.0643646422511715;0.8356164383561644;0.8197632438876097;0.06293260431289673
0.8116952380952381;0.065060550847674;0.7965499746321665;0.7995950099580676;0.0644108692577907
0.8111809523809523;0.06404583077472513;0.841197361745307;0.8392423325296621;0.06155850721540905
0.8133333333333335;0.06393813974495319;0.8281329274479959;0.8325172044938852;0.06237770439329601
0.8186285714285715;0.0641294751060102;0.8300355149670218;0.7936850223024715;0.06319016063781012
0.8175619047619048;0.06342678144219308;0.8375190258751903;0.8385048517665229;0.06165318137123471
