train_acc;train_loss;test_acc;test_class_acc;test_loss
0.37962962962962965;0.10249976114350923;0.47222222222222215;0.46296296296296297;0.1286873483657837
0.6296296296296297;0.0973536846589069;0.8055555555555555;0.6944444444444445;0.1255491018295288
0.6296296296296295;0.09497706683314576;0.7777777777777777;0.5674603174603174;0.12707170486450195
0.6203703703703705;0.0958136891832157;0.6944444444444443;0.6095679012345679;0.1297204637527466
0.5740740740740741;0.0953941916932865;0.6666666666666666;0.5674603174603174;0.12859068870544432
0.6296296296296297;0.09346519136915402;0.6111111111111112;0.4583333333333333;0.12685081005096435
0.6203703703703703;0.09343441469328743;0.36111111111111116;0.45436507936507936;0.12424094438552856
0.712962962962963;0.09143382858256904;0.7777777777777777;0.6071428571428572;0.10296976804733277
0.7777777777777778;0.08700702567489779;0.47222222222222215;0.4894179894179895;0.13591464042663573
0.6944444444444444;0.0891235245733845;0.75;0.5932539682539683;0.10570618152618408
